IncidentID,Date,Tower,Repair Cost,Downtime,Cause,Asset,Failure mode,Effect
31,28/04/2011,18,2499,48,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
32,30/04/2011,12,6437,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
33,06/05/2011,13,6917,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
34,07/05/2011,33,2595,52,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
35,08/05/2011,7,2417,51,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
36,13/05/2011,11,2665,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
37,20/05/2011,17,1500,78,market demand,vessel,Being unavailable,"Cost, downtime "
38,24/05/2011,23,2361,45,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
39,28/05/2011,19,819488,643,Collision with flock of birds,Blade,Rupture,"Cost, downtime  and Collision filmed, national news media; 80 complaints.  "
40,29/05/2011,16,2959,65,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
41,31/05/2011,15,25114,74,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
42,02/06/2011,19,2506,48,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
43,09/06/2011,7,2455,50,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
44,16/06/2011,21,2493,52,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
45,16/06/2011,16,6406,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
46,20/06/2011,2,6398,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
47,22/06/2011,7,2604,45,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
48,26/06/2011,8,43138,157,Wear,Cable,Short circuit,"Cost, downtime "
49,29/06/2011,5,6994,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
50,03/07/2011,35,2648,50,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
51,09/07/2011,21,1001151,330,Extreme weather,blade,edge crack,"Cost, downtime "
52,16/07/2011,36,2332,48,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
53,21/07/2011,32,2337,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
54,24/07/2011,2,2700,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
55,25/07/2011,17,2437,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
56,29/07/2011,22,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
57,02/08/2011,8,73914,170,overload,gearbox,Tooth failure,"Cost, downtime "
58,08/08/2011,7,2498,52,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
59,11/08/2011,2,2648,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
60,12/08/2011,7,2324,51,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
61,13/08/2011,27,2502,49,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
62,19/08/2011,24,8566,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
63,22/08/2011,8,7966,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
64,25/08/2011,24,2565,52,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
65,27/08/2011,7,8247,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
66,03/09/2011,29,5814,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
67,05/09/2011,10,2685,44,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
68,09/09/2011,15,2689,52,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
69,10/09/2011,25,23566,77,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
70,14/09/2011,22,807417,369,Extreme weather,blade,edge crack,"Cost, downtime "
71,16/09/2011,14,2646,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
72,21/09/2011,17,2584164,4425,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
73,24/09/2011,2,2402,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
74,28/09/2011,7,2381,48,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
75,03/10/2011,22,2414,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
76,06/10/2011,7,18080,69,construction error,transformer,leakage,"Cost, downtime  and 200 ltr oil spilled into sea, 0,8 km2 lightly polluted."
77,07/10/2011,7,17991,70,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
78,10/10/2011,30,22318,67,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
79,13/10/2011,15,6860,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
80,17/10/2011,12,7257,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
81,21/10/2011,33,6118,44,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
82,27/10/2011,17,2734,73,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
83,29/10/2011,35,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
84,31/10/2011,11,24077,69,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
85,02/11/2011,19,6928,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
86,09/11/2011,31,2616,51,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
87,12/11/2011,2,2389,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
88,19/11/2011,18,20223,77,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
89,20/11/2011,32,2433,53,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
90,20/11/2011,13,2588,52,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
91,22/11/2011,29,6903,53,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
92,24/11/2011,34,20563,75,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
93,01/12/2011,23,20282,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
94,02/12/2011,16,8484,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
95,05/12/2011,17,2439,47,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
96,07/12/2011,13,7480,53,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
97,08/12/2011,8,2327,46,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
98,14/12/2011,9,2409,44,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
99,16/12/2011,15,7797,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
100,21/12/2011,18,2348,44,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
101,25/12/2011,7,2680,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
102,29/12/2011,8,6546,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
103,01/01/2012,9,18856,76,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
104,08/01/2012,10,2593,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
105,14/01/2012,7,18754,76,construction error,transformer,leakage,"Cost, downtime  and 200 ltr oil spilled into sea, 0,8 km2 lightly polluted."
106,20/01/2012,18,20515,69,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
107,22/01/2012,21,6369,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
108,26/01/2012,29,2342,50,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
109,31/01/2012,33,8306,24,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
110,02/02/2012,32,2416263,4174,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
111,07/02/2012,19,3089823,4458,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
112,12/02/2012,36,2909626,4383,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
113,18/02/2012,33,2550,50,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
114,21/02/2012,29,2607,44,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
115,28/02/2012,33,2535,51,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
116,05/03/2012,2,2542,45,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
117,10/03/2012,30,2467,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
118,16/03/2012,28,41665,165,Wear,Cable,Short circuit,"Cost, downtime "
119,23/03/2012,15,23168,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
120,23/03/2012,29,2451,45,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
121,30/03/2012,19,6279,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
122,05/04/2012,31,54445,178,Wear,Cable,Short circuit,"Cost, downtime "
123,12/04/2012,11,17900,76,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
124,16/04/2012,18,6700,45,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
125,18/04/2012,7,19487,71,construction error,transformer,leakage,"Cost, downtime  and 200 ltr oil spilled into sea, 0,8 km2 lightly polluted."
126,21/04/2012,18,6107,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
127,27/04/2012,34,1500,73,market demand,vessel,Being unavailable,"Cost, downtime "
128,05/05/2012,23,2642,49,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
129,08/05/2012,17,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
130,15/05/2012,28,2597,52,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
131,22/05/2012,28,8242,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
132,23/05/2012,7,19621,73,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
133,26/05/2012,23,2507,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
134,30/05/2012,15,3010,78,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
135,01/06/2012,36,2338,50,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
136,03/06/2012,6,22107,65,construction error,transformer,leakage,"Cost, downtime  and 200 ltr oil spilled into sea, 0,8 km2 lightly polluted."
137,04/06/2012,33,2676,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
138,07/06/2012,27,23045,78,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
139,12/06/2012,18,20419,77,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
140,14/06/2012,3,7459,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
141,20/06/2012,34,2523,45,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
142,21/06/2012,6,2471,47,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
143,26/06/2012,7,2488,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
144,29/06/2012,7,6804,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
145,04/07/2012,6,2506,51,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
146,08/07/2012,9,2563,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
147,13/07/2012,26,5966,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
148,18/07/2012,22,2435,48,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
149,19/07/2012,7,891931,317,Extreme weather,blade,edge crack,"Cost, downtime "
150,21/07/2012,25,2326,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
151,28/07/2012,19,2632,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
152,31/07/2012,23,3228,70,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
153,02/08/2012,11,2688,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
154,09/08/2012,35,2406,48,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
155,11/08/2012,35,2478,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
156,16/08/2012,20,2547,47,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
157,20/08/2012,31,25397,66,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
158,24/08/2012,24,67154,169,overload,gearbox,Tooth failure,"Cost, downtime "
159,25/08/2012,11,2360,47,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
160,31/08/2012,22,7895,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
161,06/09/2012,1,6712,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
162,07/09/2012,23,5942,53,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
163,08/09/2012,22,2320,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
164,12/09/2012,7,2424,49,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
165,19/09/2012,16,2398,43,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
166,21/09/2012,6,2402,44,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
167,25/09/2012,7,2569,51,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
168,25/09/2012,3,2337,51,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
169,01/10/2012,8,24589,69,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
170,01/10/2012,11,3184,71,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
171,07/10/2012,22,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
172,10/10/2012,21,2346,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
173,15/10/2012,32,2303,51,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
174,16/10/2012,14,17533,70,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
175,19/10/2012,11,2462,50,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
176,19/10/2012,7,2558,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
177,26/10/2012,22,2406,49,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
178,26/10/2012,13,2455,45,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
179,29/10/2012,24,7980,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
180,01/11/2012,30,2670,48,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
181,06/11/2012,11,2627,47,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
182,06/11/2012,20,2645,52,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
183,13/11/2012,6,2548,49,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
184,15/11/2012,7,44870,157,Wear,Cable,Short circuit,"Cost, downtime "
185,16/11/2012,8,1500,65,market demand,vessel,Being unavailable,"Cost, downtime "
186,21/11/2012,6,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
187,24/11/2012,33,920789,304,Extreme weather,blade,edge crack,"Cost, downtime "
188,28/11/2012,28,6180,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
189,01/12/2012,7,76548,627,Corrosion,tower,loss of strength,"Cost, downtime "
190,02/12/2012,31,7491,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
191,04/12/2012,20,20398,77,construction error,transformer,leakage,"Cost, downtime  and 200 ltr oil spilled into sea, 0,8 km2 lightly polluted."
192,06/12/2012,16,2630,52,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
193,12/12/2012,27,6661,49,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
194,17/12/2012,10,2446,46,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
195,24/12/2012,8,2650,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
196,29/12/2012,1,18820,71,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
197,31/12/2012,7,2664,50,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
198,31/12/2012,7,8460,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
199,02/01/2013,29,2673,45,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
200,05/01/2013,8,2574,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
201,12/01/2013,9,866240,362,Extreme weather,blade,edge crack,"Cost, downtime "
202,12/01/2013,25,6252,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
203,16/01/2013,7,2578,48,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
204,20/01/2013,5,2662,45,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
205,24/01/2013,7,87021,158,overload,gearbox,Tooth failure,"Cost, downtime "
206,25/01/2013,25,1102884,349,Extreme weather,blade,edge crack,"Cost, downtime "
207,29/01/2013,22,2461,52,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
208,04/02/2013,7,2353,49,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
209,04/02/2013,13,2361,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
210,06/02/2013,16,2544,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
211,06/02/2013,4,21649,76,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
212,12/02/2013,8,66928,168,overload,gearbox,Tooth failure,"Cost, downtime "
213,17/02/2013,23,3073,76,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
214,19/02/2013,8,22628,78,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
215,20/02/2013,35,5722,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
216,20/02/2013,22,8502,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
217,27/02/2013,13,7137,48,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
218,05/03/2013,28,6134,48,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
219,11/03/2013,15,1500,70,market demand,vessel,Being unavailable,"Cost, downtime "
220,18/03/2013,28,22905,75,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
221,22/03/2013,27,2342,46,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
222,25/03/2013,35,6714,48,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
223,27/03/2013,11,2363,51,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
224,29/03/2013,11,2597,45,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
225,30/03/2013,30,6037,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
226,01/04/2013,7,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
227,02/04/2013,36,2628,45,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
228,05/04/2013,15,2593,47,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
229,08/04/2013,15,2419,48,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
230,14/04/2013,17,2542,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
231,15/04/2013,19,2664,50,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
232,21/04/2013,34,2604,45,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
233,26/04/2013,1,20620,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
234,28/04/2013,7,2322,44,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
235,03/05/2013,21,821413,353,Extreme weather,blade,edge crack,"Cost, downtime "
236,07/05/2013,7,2605,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
237,10/05/2013,22,19272,79,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
238,12/05/2013,32,273479,714,Extreme weather,substructure,crack,"Cost, downtime "
239,16/05/2013,31,2500,44,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
240,22/05/2013,8,61419,165,overload,gearbox,Tooth failure,"Cost, downtime "
241,28/05/2013,18,2485,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
242,03/06/2013,36,25351,71,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
243,07/06/2013,7,6829,24,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
244,11/06/2013,22,6073,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
245,13/06/2013,24,74562,155,overload,gearbox,Tooth failure,"Cost, downtime "
246,13/06/2013,26,50619,174,Wear,Cable,Short circuit,"Cost, downtime "
247,14/06/2013,29,20152,68,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
248,20/06/2013,4,861549,354,Extreme weather,blade,edge crack,"Cost, downtime "
249,24/06/2013,26,2560,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
250,28/06/2013,10,6715,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
251,04/07/2013,34,1500,79,market demand,vessel,Being unavailable,"Cost, downtime "
252,08/07/2013,7,2512,45,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
253,13/07/2013,3,2318,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
254,14/07/2013,34,19667,70,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
255,15/07/2013,16,22021,68,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
256,18/07/2013,14,7146,45,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
257,20/07/2013,7,2507,51,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
258,24/07/2013,23,2728293,4795,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
259,28/07/2013,2,2465,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
260,01/08/2013,6,24870,75,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
261,06/08/2013,24,2375,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
262,10/08/2013,2,2509,43,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
263,13/08/2013,7,1500,68,market demand,vessel,Being unavailable,"Cost, downtime "
264,16/08/2013,7,2591,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
265,16/08/2013,15,6521,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
266,23/08/2013,12,3001,69,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
267,24/08/2013,1,6553,49,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
268,26/08/2013,23,2537,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
269,31/08/2013,17,3028,76,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
270,04/09/2013,30,2406,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
271,09/09/2013,30,2591,44,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
272,13/09/2013,21,3237,77,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
273,20/09/2013,36,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
274,20/09/2013,8,42958,178,Wear,Cable,Short circuit,"Cost, downtime "
275,27/09/2013,7,2435,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
276,01/10/2013,19,1500,72,market demand,vessel,Being unavailable,"Cost, downtime "
277,04/10/2013,36,2438,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
278,06/10/2013,29,2608,51,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
279,08/10/2013,15,2426,44,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
280,15/10/2013,25,1028226,311,Extreme weather,blade,edge crack,"Cost, downtime "
281,18/10/2013,8,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
282,23/10/2013,7,2349,45,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
283,25/10/2013,21,2774,70,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
284,27/10/2013,27,2624,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
