IncidentID,Date,Tower,Description,Repair Cost,Downtime,Non-financial impact,Total Severity
54,24/07/2011,2,Incorrect input for the yaw system resulted in trip (forced shutdown).,2700,52,,2
55,25/07/2011,17,Incorrect input for the yaw system resulted in trip (forced shutdown).,2437,50,,1
56,29/07/2011,22,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
57,02/08/2011,8,Overload of the gearbox resulted in tooth failure.,73914,170,,2
58,08/08/2011,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2498,52,,2
59,11/08/2011,2,Incorrect input for the yaw system resulted in trip (forced shutdown).,2648,52,,2
60,12/08/2011,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2324,51,,1
61,13/08/2011,27,Incorrect input for the yaw system resulted in trip (forced shutdown).,2502,49,,1
62,19/08/2011,24,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8566,26,Slippery floor,2
63,22/08/2011,8,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7966,22,Slippery floor,2
64,25/08/2011,24,Voltage spike for the generator resulted in trip (forced shutdown).,2565,52,,2
65,27/08/2011,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8247,25,Slippery floor,2
66,03/09/2011,29,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5814,47,,2
67,05/09/2011,10,Incorrect input for the yaw system resulted in trip (forced shutdown).,2685,44,,1
68,09/09/2011,15,Incorrect input for the pitch system resulted in trip (forced shutdown).,2689,52,,2
69,10/09/2011,25,Imbalance of the blade resulted in vibration (forced shutdown).,23566,77,,2
70,14/09/2011,22,Extreme weather resulted in blade developing an edge crack.,807417,369,,3
71,16/09/2011,14,Incorrect input for the yaw system resulted in trip (forced shutdown).,2646,46,,1
72,21/09/2011,17,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2584164,4425,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
73,24/09/2011,2,Incorrect input for the yaw system resulted in trip (forced shutdown).,2402,48,,1
74,28/09/2011,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2381,48,,1
75,03/10/2011,22,Incorrect input for the pitch system resulted in trip (forced shutdown).,2414,47,,1
76,06/10/2011,7,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",18080,69,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
77,07/10/2011,7,Imbalance of the blade resulted in vibration (forced shutdown).,17991,70,,2
78,10/10/2011,30,Imbalance of the blade resulted in vibration (forced shutdown).,22318,67,,2
79,13/10/2011,15,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6860,50,,2
80,17/10/2011,12,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7257,47,,2
81,21/10/2011,33,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6118,44,,2
82,27/10/2011,17,Extreme weather resulted in tower vibration (forced shutdown).,2734,73,,2
83,29/10/2011,35,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
84,31/10/2011,11,Imbalance of the blade resulted in vibration (forced shutdown).,24077,69,,2
85,02/11/2011,19,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6928,22,Slippery floor,2
86,09/11/2011,31,Incorrect input for the brake system resulted in trip (forced shutdown).,2616,51,,2
87,12/11/2011,2,Incorrect input for the pitch system resulted in trip (forced shutdown).,2389,47,,1
88,19/11/2011,18,Imbalance of the blade resulted in vibration (forced shutdown).,20223,77,,2
89,20/11/2011,32,Incorrect input for the pitch system resulted in trip (forced shutdown).,2433,53,,2
90,20/11/2011,13,Incorrect input for the pitch system resulted in trip (forced shutdown).,2588,52,,2
91,22/11/2011,29,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6903,53,,2
92,24/11/2011,34,Imbalance of the blade resulted in vibration (forced shutdown).,20563,75,,2
93,01/12/2011,23,Imbalance of the blade resulted in vibration (forced shutdown).,20282,72,,2
94,02/12/2011,16,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8484,25,Slippery floor,2
95,05/12/2011,17,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2439,47,,1
96,07/12/2011,13,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7480,53,,2
97,08/12/2011,8,Ventilation error for the generator resulted in overheating (forced shutdown).,2327,46,,1
98,14/12/2011,9,Incorrect input for the yaw system resulted in trip (forced shutdown).,2409,44,,1
99,16/12/2011,15,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7797,25,Slippery floor,2
100,21/12/2011,18,Ventilation error for the generator resulted in overheating (forced shutdown).,2348,44,,1
101,25/12/2011,7,Incorrect input for the pitch system resulted in trip (forced shutdown).,2680,46,,1
102,29/12/2011,8,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6546,50,,2
103,01/01/2012,9,Imbalance of the blade resulted in vibration (forced shutdown).,18856,76,,2
104,08/01/2012,10,Incorrect input for the yaw system resulted in trip (forced shutdown).,2593,48,,1
105,14/01/2012,7,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",18754,76,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
106,20/01/2012,18,Imbalance of the blade resulted in vibration (forced shutdown).,20515,69,,2
107,22/01/2012,21,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6369,50,,2
108,26/01/2012,29,Ventilation error for the generator resulted in overheating (forced shutdown).,2342,50,,1
109,31/01/2012,33,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8306,24,Slippery floor,2
110,02/02/2012,32,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2416263,4174,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
111,07/02/2012,19,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",3089823,4458,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
112,12/02/2012,36,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2909626,4383,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
113,18/02/2012,33,Incorrect input for the brake system resulted in trip (forced shutdown).,2550,50,,2
114,21/02/2012,29,Incorrect input for the yaw system resulted in trip (forced shutdown).,2607,44,,1
115,28/02/2012,33,Incorrect input for the brake system resulted in trip (forced shutdown).,2535,51,,2
116,05/03/2012,2,Ventilation error for the generator resulted in overheating (forced shutdown).,2542,45,,1
117,10/03/2012,30,Incorrect input for the yaw system resulted in trip (forced shutdown).,2467,50,,1
118,16/03/2012,28,Wear of the cable resulted in short circuit.,41665,165,,2
119,23/03/2012,15,Imbalance of the blade resulted in vibration (forced shutdown).,23168,72,,2
120,23/03/2012,29,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2451,45,,1
121,30/03/2012,19,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6279,52,,2
122,05/04/2012,31,Wear of the cable resulted in short circuit.,54445,178,,2
123,12/04/2012,11,Imbalance of the blade resulted in vibration (forced shutdown).,17900,76,,2
124,16/04/2012,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6700,45,,2
125,18/04/2012,7,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",19487,71,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
126,21/04/2012,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6107,47,,2
127,27/04/2012,34,Market demand on the vessel resulted in it being unavailable .,1500,73,,2
128,05/05/2012,23,Incorrect input for the yaw system resulted in trip (forced shutdown).,2642,49,,1
129,08/05/2012,17,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
130,15/05/2012,28,Ventilation error for the generator resulted in overheating (forced shutdown).,2597,52,,2
131,22/05/2012,28,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8242,22,Slippery floor,2
132,23/05/2012,7,Imbalance of the blade resulted in vibration (forced shutdown).,19621,73,,2
133,26/05/2012,23,Incorrect input for the yaw system resulted in trip (forced shutdown).,2507,50,,2
134,30/05/2012,15,Extreme weather resulted in tower vibration (forced shutdown).,3010,78,,2
135,01/06/2012,36,Incorrect input for the brake system resulted in trip (forced shutdown).,2338,50,,1
136,03/06/2012,6,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",22107,65,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
137,04/06/2012,33,Incorrect input for the yaw system resulted in trip (forced shutdown).,2676,50,,2
138,07/06/2012,27,Imbalance of the blade resulted in vibration (forced shutdown).,23045,78,,2
139,12/06/2012,18,Imbalance of the blade resulted in vibration (forced shutdown).,20419,77,,2
140,14/06/2012,3,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7459,23,Slippery floor,2
141,20/06/2012,34,Incorrect input for the yaw system resulted in trip (forced shutdown).,2523,45,,1
142,21/06/2012,6,Incorrect input for the yaw system resulted in trip (forced shutdown).,2471,47,,1
143,26/06/2012,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2488,48,,1
144,29/06/2012,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6804,26,Slippery floor,2
145,04/07/2012,6,Incorrect input for the yaw system resulted in trip (forced shutdown).,2506,51,,2
146,08/07/2012,9,Incorrect input for the yaw system resulted in trip (forced shutdown).,2563,46,,1
147,13/07/2012,26,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5966,51,,2
148,18/07/2012,22,Incorrect input for the pitch system resulted in trip (forced shutdown).,2435,48,,1
149,19/07/2012,7,Extreme weather resulted in blade developing an edge crack.,891931,317,,3
150,21/07/2012,25,Incorrect input for the pitch system resulted in trip (forced shutdown).,2326,46,,1
151,28/07/2012,19,Incorrect input for the yaw system resulted in trip (forced shutdown).,2632,52,,2
152,31/07/2012,23,Extreme weather resulted in tower vibration (forced shutdown).,3228,70,,2
153,02/08/2012,11,Incorrect input for the yaw system resulted in trip (forced shutdown).,2688,48,,1
154,09/08/2012,35,Incorrect input for the brake system resulted in trip (forced shutdown).,2406,48,,1
155,11/08/2012,35,Incorrect input for the pitch system resulted in trip (forced shutdown).,2478,49,,1
156,16/08/2012,20,Incorrect input for the yaw system resulted in trip (forced shutdown).,2547,47,,1
157,20/08/2012,31,Imbalance of the blade resulted in vibration (forced shutdown).,25397,66,,2
158,24/08/2012,24,Overload of the gearbox resulted in tooth failure.,67154,169,,2
159,25/08/2012,11,Incorrect input for the yaw system resulted in trip (forced shutdown).,2360,47,,1
160,31/08/2012,22,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7895,25,Slippery floor,2
161,06/09/2012,1,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6712,25,Slippery floor,2
162,07/09/2012,23,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5942,53,,2
163,08/09/2012,22,Incorrect input for the yaw system resulted in trip (forced shutdown).,2320,48,,1
164,12/09/2012,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2424,49,,1
165,19/09/2012,16,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2398,43,,1
166,21/09/2012,6,Incorrect input for the pitch system resulted in trip (forced shutdown).,2402,44,,1
167,25/09/2012,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2569,51,,2
168,25/09/2012,3,Incorrect input for the pitch system resulted in trip (forced shutdown).,2337,51,,1
169,01/10/2012,8,Imbalance of the blade resulted in vibration (forced shutdown).,24589,69,,2
170,01/10/2012,11,Extreme weather resulted in tower vibration (forced shutdown).,3184,71,,2
171,07/10/2012,22,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
172,10/10/2012,21,Incorrect input for the pitch system resulted in trip (forced shutdown).,2346,46,,1
173,15/10/2012,32,Incorrect input for the brake system resulted in trip (forced shutdown).,2303,51,,1
174,16/10/2012,14,Imbalance of the blade resulted in vibration (forced shutdown).,17533,70,,2
175,19/10/2012,11,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2462,50,,1
176,19/10/2012,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2558,50,,2
177,26/10/2012,22,Voltage spike for the generator resulted in trip (forced shutdown).,2406,49,,1
178,26/10/2012,13,Voltage spike for the generator resulted in trip (forced shutdown).,2455,45,,1
179,29/10/2012,24,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7980,25,Slippery floor,2
180,01/11/2012,30,Incorrect input for the brake system resulted in trip (forced shutdown).,2670,48,,1
181,06/11/2012,11,Voltage spike for the generator resulted in trip (forced shutdown).,2627,47,,1
182,06/11/2012,20,Incorrect input for the brake system resulted in trip (forced shutdown).,2645,52,,2
183,13/11/2012,6,Incorrect input for the brake system resulted in trip (forced shutdown).,2548,49,,1
184,15/11/2012,7,Wear of the cable resulted in short circuit.,44870,157,,2
185,16/11/2012,8,Market demand on the vessel resulted in it being unavailable .,1500,65,,2
186,21/11/2012,6,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
187,24/11/2012,33,Extreme weather resulted in blade developing an edge crack.,920789,304,,3
188,28/11/2012,28,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6180,51,,2
189,01/12/2012,7,Corrosion of the tower resulted in loss of strength.,76548,627,,3
190,02/12/2012,31,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7491,50,,2
191,04/12/2012,20,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",20398,77,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
192,06/12/2012,16,Incorrect input for the brake system resulted in trip (forced shutdown).,2630,52,,2
193,12/12/2012,27,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6661,49,,2
194,17/12/2012,10,Incorrect input for the brake system resulted in trip (forced shutdown).,2446,46,,1
195,24/12/2012,8,Incorrect input for the pitch system resulted in trip (forced shutdown).,2650,47,,1
196,29/12/2012,1,Imbalance of the blade resulted in vibration (forced shutdown).,18820,71,,2
197,31/12/2012,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2664,50,,2
198,31/12/2012,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8460,26,Slippery floor,2
199,02/01/2013,29,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2673,45,,1
200,05/01/2013,8,Incorrect input for the pitch system resulted in trip (forced shutdown).,2574,49,,1
201,12/01/2013,9,Extreme weather resulted in blade developing an edge crack.,866240,362,,3
202,12/01/2013,25,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6252,51,,2
203,16/01/2013,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2578,48,,1
204,20/01/2013,5,Incorrect input for the brake system resulted in trip (forced shutdown).,2662,45,,1
205,24/01/2013,7,Overload of the gearbox resulted in tooth failure.,87021,158,,3
206,25/01/2013,25,Extreme weather resulted in blade developing an edge crack.,1102884,349,,4
207,29/01/2013,22,Incorrect input for the brake system resulted in trip (forced shutdown).,2461,52,,2
208,04/02/2013,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2353,49,,1
209,04/02/2013,13,Incorrect input for the yaw system resulted in trip (forced shutdown).,2361,46,,1
210,06/02/2013,16,Incorrect input for the yaw system resulted in trip (forced shutdown).,2544,52,,2
211,06/02/2013,4,Imbalance of the blade resulted in vibration (forced shutdown).,21649,76,,2
212,12/02/2013,8,Overload of the gearbox resulted in tooth failure.,66928,168,,2
213,17/02/2013,23,Extreme weather resulted in tower vibration (forced shutdown).,3073,76,,2
214,19/02/2013,8,Imbalance of the blade resulted in vibration (forced shutdown).,22628,78,,2
215,20/02/2013,35,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5722,47,,2
216,20/02/2013,22,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8502,23,Slippery floor,2
217,27/02/2013,13,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7137,48,,2
218,05/03/2013,28,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6134,48,,2
219,11/03/2013,15,Market demand on the vessel resulted in it being unavailable .,1500,70,,2
220,18/03/2013,28,Imbalance of the blade resulted in vibration (forced shutdown).,22905,75,,2
221,22/03/2013,27,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2342,46,,1
222,25/03/2013,35,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6714,48,,2
223,27/03/2013,11,Incorrect input for the brake system resulted in trip (forced shutdown).,2363,51,,2
224,29/03/2013,11,Incorrect input for the brake system resulted in trip (forced shutdown).,2597,45,,1
225,30/03/2013,30,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6037,52,,2
226,01/04/2013,7,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
227,02/04/2013,36,Incorrect input for the brake system resulted in trip (forced shutdown).,2628,45,,1
228,05/04/2013,15,Ventilation error for the generator resulted in overheating (forced shutdown).,2593,47,,1
229,08/04/2013,15,Incorrect input for the brake system resulted in trip (forced shutdown).,2419,48,,1
230,14/04/2013,17,Incorrect input for the pitch system resulted in trip (forced shutdown).,2542,49,,1
231,15/04/2013,19,Incorrect input for the pitch system resulted in trip (forced shutdown).,2664,50,,2
232,21/04/2013,34,Incorrect input for the pitch system resulted in trip (forced shutdown).,2604,45,,1
233,26/04/2013,1,Imbalance of the blade resulted in vibration (forced shutdown).,20620,72,,2
234,28/04/2013,7,Incorrect input for the pitch system resulted in trip (forced shutdown).,2322,44,,1
235,03/05/2013,21,Extreme weather resulted in blade developing an edge crack.,821413,353,,3
236,07/05/2013,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2605,44,,1
237,10/05/2013,22,Imbalance of the blade resulted in vibration (forced shutdown).,19272,79,,2
238,12/05/2013,32,Extreme weather resulted in substructure developing acrack.,273479,714,,3
239,16/05/2013,31,Voltage spike for the generator resulted in trip (forced shutdown).,2500,44,,1
240,22/05/2013,8,Overload of the gearbox resulted in tooth failure.,61419,165,,2
241,28/05/2013,18,Incorrect input for the yaw system resulted in trip (forced shutdown).,2485,52,,2
242,03/06/2013,36,Imbalance of the blade resulted in vibration (forced shutdown).,25351,71,,2
243,07/06/2013,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6829,24,Slippery floor,2
244,11/06/2013,22,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6073,50,,2
245,13/06/2013,24,Overload of the gearbox resulted in tooth failure.,74562,155,,2
246,13/06/2013,26,Wear of the cable resulted in short circuit.,50619,174,,2
247,14/06/2013,29,Imbalance of the blade resulted in vibration (forced shutdown).,20152,68,,2
248,20/06/2013,4,Extreme weather resulted in blade developing an edge crack.,861549,354,,3
249,24/06/2013,26,Incorrect input for the brake system resulted in trip (forced shutdown).,2560,44,,1
250,28/06/2013,10,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6715,26,Slippery floor,2
251,04/07/2013,34,Market demand on the vessel resulted in it being unavailable .,1500,79,,2
252,08/07/2013,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2512,45,,1
253,13/07/2013,3,Incorrect input for the brake system resulted in trip (forced shutdown).,2318,44,,1
254,14/07/2013,34,Imbalance of the blade resulted in vibration (forced shutdown).,19667,70,,2
255,15/07/2013,16,Imbalance of the blade resulted in vibration (forced shutdown).,22021,68,,2
256,18/07/2013,14,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7146,45,,2
257,20/07/2013,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2507,51,,2
258,24/07/2013,23,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2728293,4795,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
259,28/07/2013,2,Incorrect input for the yaw system resulted in trip (forced shutdown).,2465,46,,1
260,01/08/2013,6,Imbalance of the blade resulted in vibration (forced shutdown).,24870,75,,2
261,06/08/2013,24,Incorrect input for the brake system resulted in trip (forced shutdown).,2375,44,,1
262,10/08/2013,2,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2509,43,,1
263,13/08/2013,7,Market demand on the vessel resulted in it being unavailable .,1500,68,,2
264,16/08/2013,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2591,46,,1
265,16/08/2013,15,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6521,47,,2
266,23/08/2013,12,Extreme weather resulted in tower vibration (forced shutdown).,3001,69,,2
267,24/08/2013,1,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6553,49,,2
268,26/08/2013,23,Incorrect input for the pitch system resulted in trip (forced shutdown).,2537,46,,1
269,31/08/2013,17,Extreme weather resulted in tower vibration (forced shutdown).,3028,76,,2
270,04/09/2013,30,Incorrect input for the pitch system resulted in trip (forced shutdown).,2406,46,,1
271,09/09/2013,30,Incorrect input for the pitch system resulted in trip (forced shutdown).,2591,44,,1
272,13/09/2013,21,Extreme weather resulted in tower vibration (forced shutdown).,3237,77,,2
273,20/09/2013,36,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
274,20/09/2013,8,Wear of the cable resulted in short circuit.,42958,178,,2
275,27/09/2013,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2435,44,,1
276,01/10/2013,19,Market demand on the vessel resulted in it being unavailable .,1500,72,,2
277,04/10/2013,36,Incorrect input for the brake system resulted in trip (forced shutdown).,2438,44,,1
278,06/10/2013,29,Incorrect input for the yaw system resulted in trip (forced shutdown).,2608,51,,2
279,08/10/2013,15,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2426,44,,1
280,15/10/2013,25,Extreme weather resulted in blade developing an edge crack.,1028226,311,,4
281,18/10/2013,8,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
